record_id,title,doi,pdf_path,text_path,pages,pages_with_text,characters,text_sha256,extraction_status
DCM-00008,End-of-life care conversations with heart failure patients: a systematic literature review and narrative synthesis,https://doi.org/10.3399/bjgp11x549018,library\staging\master\DCM-00008-End-of-life-care-conversations-with-heart-failure-patients-a-systematic-literatu.pdf,extracted-text\local-only\master\DCM-00008-End-of-life-care-conversations-with-heart-failure-patients-a-systematic-literatu.txt,14,14,69300,1b074b7484355535a08f7cd504f367f08085b86ef022a510526ae96c471379d6,complete
DCM-00011,Co-developing a Mental Health and Wellbeing Chatbot With and for Young People,https://doi.org/10.3389/fpsyt.2020.606041,library\staging\master\DCM-00011-Co-developing-a-Mental-Health-and-Wellbeing-Chatbot-With-and-for-Young-People.pdf,extracted-text\local-only\master\DCM-00011-Co-developing-a-Mental-Health-and-Wellbeing-Chatbot-With-and-for-Young-People.txt,12,12,72988,fd25e4519b346ba3ccadc64cb6e83511fe47765e8ba24df3c3f54525d396ab3b,complete
DCM-00058,Voice bots on the frontline: Voice-based interfaces enhance flow-like consumer experiences & boost service outcomes,https://doi.org/10.1007/s11747-022-00868-5,library\staging\master\DCM-00058-Voice-bots-on-the-frontline-Voice-based-interfaces-enhance-flow-like-consumer-ex.pdf,extracted-text\local-only\master\DCM-00058-Voice-bots-on-the-frontline-Voice-based-interfaces-enhance-flow-like-consumer-ex.txt,20,20,99399,271b30754ea385a864a791e679c9f9c34cbb4330491e10f64af9df8e5b930c6a,complete
DCM-00075,"Conversational, agentic AI-enhanced architectural design process: three approaches to multimodal AI-enhanced early-stage performative design exploration",https://doi.org/10.1007/s44223-025-00092-5,library\staging\master\DCM-00075-Conversational-agentic-AI-enhanced-architectural-design-process-three-approaches.pdf,extracted-text\local-only\master\DCM-00075-Conversational-agentic-AI-enhanced-architectural-design-process-three-approaches.txt,25,25,97142,8e0b1cbe82f48df5ff10850e476c793e788c8b978dfbb849af58a6ee5551808b,complete
DCM-00088,"Social determinants and chronic kidney disease of undetermined origin in childhood: Its communication and understanding described by families in Lake Chapala, Mexico",https://doi.org/10.3389/fneph.2022.962887,library\staging\master\DCM-00088-Social-determinants-and-chronic-kidney-disease-of-undetermined-origin-in-childho.pdf,extracted-text\local-only\master\DCM-00088-Social-determinants-and-chronic-kidney-disease-of-undetermined-origin-in-childho.txt,10,10,52771,8c68f10f59947c8bd5fe6bacc0b21b4840d57b1d8cdffad051beafc4a469a05d,complete
DCM-00090,Exploring ChatGPT's potential for augmenting post-editing in machine translation across multiple domains: challenges and opportunities,https://doi.org/10.3389/frai.2025.1526293,library\staging\master\DCM-00090-Exploring-ChatGPT-s-potential-for-augmenting-post-editing-in-machine-translation.pdf,extracted-text\local-only\master\DCM-00090-Exploring-ChatGPT-s-potential-for-augmenting-post-editing-in-machine-translation.txt,11,11,54780,c5517f19970d62c1e47b8c5a8eb5cdaf1f45cc23c50de85a3ed64fff86d23558,complete
DCM-00098,Designing an Intelligent Virtual Assistant for Preventing Bullying and Cyberbullying in Education,https://doi.org/10.4236/ojapps.2025.154059,library\staging\master\DCM-00098-Designing-an-Intelligent-Virtual-Assistant-for-Preventing-Bullying-and-Cyberbull.pdf,extracted-text\local-only\master\DCM-00098-Designing-an-Intelligent-Virtual-Assistant-for-Preventing-Bullying-and-Cyberbull.txt,11,11,30194,1b8d9def377b98d470c86636abf36f6b106b4374e0228382f8563832ef82eb6e,complete
DCM-00099,AI-Powered Contact Centers in the Energy and Utilities Sector: Transforming Customer Experience and Operational Excellence Through Intelligent Technologies,https://doi.org/10.32996/jcsts.2025.7.4.89,library\staging\master\DCM-00099-AI-Powered-Contact-Centers-in-the-Energy-and-Utilities-Sector-Transforming-Custo.pdf,extracted-text\local-only\master\DCM-00099-AI-Powered-Contact-Centers-in-the-Energy-and-Utilities-Sector-Transforming-Custo.txt,8,8,33963,f5305871afa69d76496c92cbeb042715a1cc3ba049dfd2eb297dd4b1c8e2d775,complete
DCM-00127,Key Considerations for Incorporating Conversational AI in Psychotherapy,https://doi.org/10.3389/fpsyt.2019.00746,library\staging\master\DCM-00127-Key-Considerations-for-Incorporating-Conversational-AI-in-Psychotherapy.pdf,extracted-text\local-only\master\DCM-00127-Key-Considerations-for-Incorporating-Conversational-AI-in-Psychotherapy.txt,7,7,43961,d38a8df52232c76967b006e1059a043d946fb83511d35c852769206f14420357,complete
DCM-00141,Investigating the user experience of customer service chatbot interaction: a framework for qualitative analysis of chatbot dialogues,https://doi.org/10.1007/s41233-021-00046-5,library\staging\master\DCM-00141-Investigating-the-user-experience-of-customer-service-chatbot-interaction-a-fram.pdf,extracted-text\local-only\master\DCM-00141-Investigating-the-user-experience-of-customer-service-chatbot-interaction-a-fram.txt,17,17,88267,0562eee4999f799d4f4f50381dd637a3216c3761edb35756e24331c8af8982d9,complete
